Src IP,Dst IP,Total Flow Duration,Total Forward Packets,Avg Flow Duration,Avg Forward Packets,Std Dev Flow Duration,Std Dev Forward Packets
192.168.20.43,54.239.33.155,7915038,67,3957519.00,33.50,120289.00,5.50
192.168.20.43,3.212.205.83,31826754,260,31826754.00,260.00,0.00,0.00
192.168.20.43,35.174.51.236,19040042,68,19040042.00,68.00,0.00,0.00
18.140.188.91,192.168.20.48,725163,7,362581.50,3.50,13542.50,2.50
18.164.55.40,192.168.20.43,13723,2,6861.50,1.00,5450.50,0.00
192.168.20.48,72.21.195.82,1802883,31,1802883.00,31.00,0.00,0.00
192.168.20.48,3.1.115.53,7250500,100,7250500.00,100.00,0.00,0.00
192.168.20.48,52.222.193.55,8409902,581,8409902.00,581.00,0.00,0.00
192.168.20.48,18.167.1.113,8684736,97,8684736.00,97.00,0.00,0.00
192.168.20.48,44.199.138.71,25106307,707,25106307.00,707.00,0.00,0.00
192.168.20.48,18.155.131.56,249595,18,249595.00,18.00,0.00,0.00
192.168.20.48,52.119.198.106,976312,16,976312.00,16.00,0.00,0.00
192.168.20.48,52.46.149.57,985542,17,985542.00,17.00,0.00,0.00
192.168.20.48,13.248.200.177,136658,27,136658.00,27.00,0.00,0.00
192.168.20.48,54.239.27.116,1399084,29,1399084.00,29.00,0.00,0.00
192.168.20.48,43.205.185.100,6699567,90,6699567.00,90.00,0.00,0.00
192.168.20.48,3.223.79.67,2682211,64,2682211.00,64.00,0.00,0.00
192.168.20.48,35.171.216.243,1222276,38,1222276.00,38.00,0.00,0.00
192.168.20.48,54.239.19.122,666197,11,666197.00,11.00,0.00,0.00
192.168.20.48,52.84.174.15,1096656,93,1096656.00,93.00,0.00,0.00
192.168.20.48,34.226.24.249,153962,2,153962.00,2.00,0.00,0.00
192.168.20.48,8.8.8.8,5116932,624,2558466.00,312.00,2339471.00,286.00
192.168.20.48,52.206.230.179,1347451,44,1347451.00,44.00,0.00,0.00
192.168.20.48,34.228.101.107,2223139,37,2223139.00,37.00,0.00,0.00
192.168.20.48,13.246.0.149,2093741,38,2093741.00,38.00,0.00,0.00
192.168.20.48,52.84.174.10,78280,14,78280.00,14.00,0.00,0.00
192.168.20.48,52.119.198.101,1970390,35,1970390.00,35.00,0.00,0.00
192.168.20.48,54.239.27.82,1766162,36,1766162.00,36.00,0.00,0.00
192.168.20.48,13.225.31.129,874522,24,874522.00,24.00,0.00,0.00
192.168.20.48,18.134.222.161,2307048,115,2307048.00,115.00,0.00,0.00
192.168.20.48,44.193.236.65,60544217,1813,60544217.00,1813.00,0.00,0.00
192.168.20.48,54.195.209.68,1202134,74,1202134.00,74.00,0.00,0.00
192.168.20.48,3.28.113.52,1671644,19,1671644.00,19.00,0.00,0.00
192.168.20.48,52.214.227.89,31878847946,2331,31878847946.00,2331.00,0.00,0.00
192.168.20.48,192.168.20.1,8463755,1420,4231877.50,710.00,3408511.50,650.00
192.168.20.48,13.48.15.205,2003005,117,2003005.00,117.00,0.00,0.00
192.168.20.48,52.46.133.19,2423599,41,2423599.00,41.00,0.00,0.00
192.168.20.48,54.166.21.152,14504487,402,7252243.50,201.00,6419992.50,182.00
192.168.20.48,54.203.166.245,2167899,40,2167899.00,40.00,0.00,0.00
192.168.20.48,209.54.180.27,382610,15,382610.00,15.00,0.00,0.00
192.168.20.48,54.239.31.104,1347478,24,1347478.00,24.00,0.00,0.00
192.168.20.48,239.255.255.250,5227,36,2613.50,18.00,1131.50,15.00
192.168.20.48,44.207.137.197,1639429,39,1639429.00,39.00,0.00,0.00
192.168.20.48,13.249.33.203,778444,18,778444.00,18.00,0.00,0.00
192.168.20.48,3.226.187.174,156721,5,156721.00,5.00,0.00,0.00
192.168.20.48,15.197.228.53,879533,12,879533.00,12.00,0.00,0.00
192.168.20.48,54.157.203.98,20863407,632,20863407.00,632.00,0.00,0.00
192.168.20.48,54.91.103.251,101974023,2980,101974023.00,2980.00,0.00,0.00
192.168.20.48,15.188.36.183,518477,107,518477.00,107.00,0.00,0.00
192.168.20.48,34.206.100.209,2957327,84,2957327.00,84.00,0.00,0.00
192.168.20.48,3.227.117.250,1415669,27,1415669.00,27.00,0.00,0.00
192.168.20.48,43.201.125.242,7466560,74,7466560.00,74.00,0.00,0.00
192.168.20.48,18.216.180.71,1848283,40,1848283.00,40.00,0.00,0.00
192.168.20.48,16.16.59.238,2127900,111,2127900.00,111.00,0.00,0.00
192.168.20.48,34.252.33.62,1064146,56,532073.00,28.00,134430.00,6.00
192.168.20.48,35.167.225.196,1698720,18,1698720.00,18.00,0.00,0.00
192.168.20.48,54.85.159.116,513073,12,513073.00,12.00,0.00,0.00
192.168.20.48,52.20.206.121,40366905,1245,40366905.00,1245.00,0.00,0.00
192.168.20.48,18.156.17.11,728082,36,728082.00,36.00,0.00,0.00
192.168.20.48,209.54.181.98,1693669,34,1693669.00,34.00,0.00,0.00
192.168.20.48,54.238.156.226,18545633,190,18545633.00,190.00,0.00,0.00
192.168.20.48,75.2.109.205,887533,17,887533.00,17.00,0.00,0.00
192.168.20.48,3.212.57.174,811200,25,811200.00,25.00,0.00,0.00
192.168.20.48,54.206.221.238,7693732,73,7693732.00,73.00,0.00,0.00
192.168.20.48,52.46.137.255,823027,14,823027.00,14.00,0.00,0.00
192.168.20.48,34.237.111.59,88500757,2579,44250378.50,1289.50,43042563.50,1269.50
192.168.20.48,52.94.241.146,899512,19,899512.00,19.00,0.00,0.00
192.168.20.48,52.71.238.202,1316195,28,1316195.00,28.00,0.00,0.00
192.168.20.48,54.243.58.104,27432714,774,27432714.00,774.00,0.00,0.00
192.168.20.48,18.163.70.120,5023879,58,5023879.00,58.00,0.00,0.00
192.168.20.48,107.20.127.221,2407836,44,2407836.00,44.00,0.00,0.00
192.168.20.48,52.46.143.123,444774,14,444774.00,14.00,0.00,0.00
192.168.20.48,54.173.93.68,1223190,18,1223190.00,18.00,0.00,0.00
192.168.20.48,54.215.58.112,4202368,58,4202368.00,58.00,0.00,0.00
192.168.20.48,3.233.109.178,157446,5,157446.00,5.00,0.00,0.00
192.168.20.48,13.125.158.78,8227638,94,8227638.00,94.00,0.00,0.00
192.168.20.48,52.46.158.193,501225,15,501225.00,15.00,0.00,0.00
192.168.20.48,52.94.242.236,1240232,31,1240232.00,31.00,0.00,0.00
192.168.20.48,34.214.111.43,5274128,60,2637064.00,30.00,1106239.00,10.00
192.168.20.48,157.241.5.46,3204866,68,3204866.00,68.00,0.00,0.00
192.168.20.48,3.233.174.130,1259743,43,1259743.00,43.00,0.00,0.00
192.168.20.48,54.205.24.65,17781923,580,17781923.00,580.00,0.00,0.00
192.168.20.48,72.21.207.82,896497,15,896497.00,15.00,0.00,0.00
192.168.20.48,52.72.244.88,3462674,65,3462674.00,65.00,0.00,0.00
192.168.20.48,209.54.178.164,1028201,12,1028201.00,12.00,0.00,0.00
192.168.20.48,209.54.178.166,1938838,33,1938838.00,33.00,0.00,0.00
192.168.20.48,44.198.224.47,45362930,1343,45362930.00,1343.00,0.00,0.00
192.168.20.48,54.225.152.58,1871903,47,1871903.00,47.00,0.00,0.00
192.168.20.48,52.84.174.70,73770,14,73770.00,14.00,0.00,0.00
192.168.20.48,52.76.51.147,3051108,36,1525554.00,18.00,24135.00,2.00
192.168.20.48,44.199.52.214,15643955,473,15643955.00,473.00,0.00,0.00
192.168.20.48,3.227.83.236,67514352,1986,67514352.00,1986.00,0.00,0.00
192.168.20.48,52.78.15.113,1377153,18,1377153.00,18.00,0.00,0.00
192.168.20.48,18.206.129.39,42663817977,1978,21331908988.50,989.00,19508096132.50,907.00
192.168.20.48,52.44.87.149,1761100,38,1761100.00,38.00,0.00,0.00
192.168.20.48,18.229.75.205,7404400,77,7404400.00,77.00,0.00,0.00
192.168.20.48,3.76.1.196,886284,56,886284.00,56.00,0.00,0.00
192.168.20.48,52.16.104.93,24407467422,1882,12203733711.00,941.00,11624069806.00,875.00
192.168.20.48,35.71.171.52,163664,14,163664.00,14.00,0.00,0.00
192.168.20.48,54.162.217.75,812907,20,812907.00,20.00,0.00,0.00
192.168.20.48,52.46.131.168,368843,12,368843.00,12.00,0.00,0.00
192.168.20.48,54.68.250.149,4970266,54,4970266.00,54.00,0.00,0.00
192.168.20.48,52.222.145.55,224040,20,224040.00,20.00,0.00,0.00
192.168.20.48,54.193.16.2,6397003,78,6397003.00,78.00,0.00,0.00
192.168.20.48,54.225.146.82,3116350,38,3116350.00,38.00,0.00,0.00
192.168.20.48,13.32.145.118,56555,11,56555.00,11.00,0.00,0.00
192.168.20.48,54.146.45.201,1134243,12,1134243.00,12.00,0.00,0.00
192.168.20.48,3.6.255.210,2729497,40,2729497.00,40.00,0.00,0.00
192.168.20.48,75.2.104.77,1321603,14,1321603.00,14.00,0.00,0.00
192.168.20.48,54.207.10.176,5288745,76,5288745.00,76.00,0.00,0.00
192.168.20.48,52.84.174.54,267921,40,267921.00,40.00,0.00,0.00
192.168.20.48,54.92.128.108,2854254,43,2854254.00,43.00,0.00,0.00
192.168.20.48,54.161.26.204,1362174,44,1362174.00,44.00,0.00,0.00
192.168.20.48,34.202.104.124,393091,10,393091.00,10.00,0.00,0.00
192.168.20.48,224.0.0.251,452002126,74,226001063.00,37.00,195163440.00,31.00
192.168.20.48,52.222.174.52,817861,14,817861.00,14.00,0.00,0.00
192.168.20.48,18.140.188.91,7442781,94,3721390.50,47.00,1650593.50,30.00
192.168.20.48,52.2.163.119,279460,5,279460.00,5.00,0.00,0.00
192.168.20.48,34.195.175.66,8031532,199,8031532.00,199.00,0.00,0.00
192.168.20.48,34.231.63.97,2022040,45,2022040.00,45.00,0.00,0.00
192.168.20.48,15.236.150.135,1281952,143,1281952.00,143.00,0.00,0.00
192.168.20.48,108.137.181.26,5463164,78,5463164.00,78.00,0.00,0.00
192.168.20.48,34.250.50.152,928643,93,928643.00,93.00,0.00,0.00
192.168.20.48,13.245.125.189,3976406,57,3976406.00,57.00,0.00,0.00
192.168.20.48,13.246.174.39,4306392,76,4306392.00,76.00,0.00,0.00
192.168.20.48,108.137.188.162,4867566,57,4867566.00,57.00,0.00,0.00
192.168.20.48,3.71.131.162,609573,52,609573.00,52.00,0.00,0.00
192.168.20.48,35.173.74.42,4707681,71,4707681.00,71.00,0.00,0.00
192.168.20.48,18.102.55.180,1367546,36,1367546.00,36.00,0.00,0.00
192.168.20.48,15.222.185.72,18387115,110,9193557.50,55.00,8792708.50,38.00
192.168.20.48,54.85.101.161,457776,22,457776.00,22.00,0.00,0.00
192.168.20.48,3.112.156.31,9493914,97,9493914.00,97.00,0.00,0.00
192.168.20.48,54.161.46.108,2742180,83,2742180.00,83.00,0.00,0.00
192.168.20.48,3.227.34.105,2420724,42,2420724.00,42.00,0.00,0.00
192.168.20.48,52.46.128.39,3947167,68,3947167.00,68.00,0.00,0.00
192.168.20.48,52.46.131.209,823615,28,823615.00,28.00,0.00,0.00
192.168.20.48,54.243.160.51,622741,7,622741.00,7.00,0.00,0.00
192.168.20.48,104.199.65.124,72568593594,7445,36284296797.00,3722.50,33483920135.00,3420.50
192.168.20.48,18.102.88.160,904105,89,904105.00,89.00,0.00,0.00
192.168.20.48,13.54.168.82,7044949,52,7044949.00,52.00,0.00,0.00
192.168.20.48,54.158.105.246,1180828,42,1180828.00,42.00,0.00,0.00
192.168.20.48,255.255.255.255,49687,72,24843.50,36.00,23162.50,30.00
192.168.20.48,54.167.53.194,1766645,46,1766645.00,46.00,0.00,0.00
192.168.20.48,52.46.131.184,905607,17,905607.00,17.00,0.00,0.00
192.168.20.48,52.119.198.2,464766,13,464766.00,13.00,0.00,0.00
192.168.20.48,157.175.241.61,2123116,36,2123116.00,36.00,0.00,0.00
192.168.20.48,18.155.126.209,4677981,151,2338990.50,75.50,647152.50,36.50
192.168.20.48,54.249.26.192,3099305,40,3099305.00,40.00,0.00,0.00
192.168.20.48,3.18.23.108,4651717,73,4651717.00,73.00,0.00,0.00
192.168.20.48,15.184.245.166,1339601,41,1339601.00,41.00,0.00,0.00
192.168.20.48,16.163.233.23,8752703,92,4376351.50,46.00,1799456.50,29.00
192.168.20.48,35.164.36.47,4215029,39,4215029.00,39.00,0.00,0.00
192.168.20.48,18.214.180.6,38755140,1218,19377570.00,609.00,16910002.00,537.00
192.168.20.48,35.178.87.88,310592,35,310592.00,35.00,0.00,0.00
192.168.20.48,18.203.57.224,13945521277,1053,13945521277.00,1053.00,0.00,0.00
192.168.20.48,15.161.86.203,1501742,53,1501742.00,53.00,0.00,0.00
192.168.20.48,3.234.38.31,77502,1,77502.00,1.00,0.00,0.00
192.168.20.48,54.232.199.45,2601032,41,2601032.00,41.00,0.00,0.00
192.168.20.48,3.224.249.36,1820084,44,1820084.00,44.00,0.00,0.00
192.168.20.48,35.183.173.98,9748787,208,9748787.00,208.00,0.00,0.00
192.168.20.48,43.205.35.127,6355419,94,6355419.00,94.00,0.00,0.00
192.168.20.48,52.201.117.32,2520372,52,2520372.00,52.00,0.00,0.00
192.168.20.48,52.202.2.34,51198886,1500,25599443.00,750.00,274286.00,8.00
192.168.20.48,3.105.75.37,15345740,145,15345740.00,145.00,0.00,0.00
192.168.20.48,23.22.232.191,3031565,79,1515782.50,39.50,1135321.50,22.50
192.168.20.48,13.37.191.91,214626,54,107313.00,27.00,29342.00,9.00
192.168.20.48,52.46.133.103,442280,12,442280.00,12.00,0.00,0.00
192.168.20.48,13.50.30.171,2085349,128,2085349.00,128.00,0.00,0.00
192.168.20.48,3.140.228.75,4833179,70,4833179.00,70.00,0.00,0.00
192.168.20.48,50.17.237.83,908391,21,908391.00,21.00,0.00,0.00
192.168.20.48,54.164.163.115,46148016,1348,46148016.00,1348.00,0.00,0.00
192.168.20.48,52.46.155.120,979294,17,979294.00,17.00,0.00,0.00
192.168.20.48,52.84.177.20,60175265,1552,60175265.00,1552.00,0.00,0.00
192.168.20.48,54.221.200.137,31515608,964,31515608.00,964.00,0.00,0.00
192.168.20.48,35.178.33.97,2433040,167,2433040.00,167.00,0.00,0.00
192.168.20.48,52.45.237.36,77719,1,77719.00,1.00,0.00,0.00
192.168.20.48,52.46.157.6,673765,15,673765.00,15.00,0.00,0.00
192.168.20.48,52.79.118.208,11391723,129,5695861.50,64.50,2894521.50,26.50
192.168.20.48,108.136.92.85,3547839,38,3547839.00,38.00,0.00,0.00
192.168.20.48,34.236.6.206,76905,1,76905.00,1.00,0.00,0.00
192.168.20.48,54.242.128.35,7020464,113,7020464.00,113.00,0.00,0.00
108.137.188.162,192.168.20.48,894779,3,894779.00,3.00,0.00,0.00
3.71.131.162,192.168.20.48,27174,3,27174.00,3.00,0.00,0.00
35.173.74.42,192.168.20.48,360435,5,360435.00,5.00,0.00,0.00
52.94.233.94,192.168.20.43,1323,3,1323.00,3.00,0.00,0.00
15.222.185.72,192.168.20.48,161601,7,80800.50,3.50,79724.50,2.50
54.85.101.161,192.168.20.48,291485,2,291485.00,2.00,0.00,0.00
54.161.46.108,192.168.20.48,6613,4,6613.00,4.00,0.00,0.00
3.227.34.105,192.168.20.48,58172,2,58172.00,2.00,0.00,0.00
52.84.174.45,192.168.20.43,8113,1,8113.00,1.00,0.00,0.00
52.46.128.39,192.168.20.48,113529,3,113529.00,3.00,0.00,0.00
18.102.88.160,192.168.20.48,10746,5,10746.00,5.00,0.00,0.00
13.54.168.82,192.168.20.48,3416,3,3416.00,3.00,0.00,0.00
54.158.105.246,192.168.20.48,11552,4,11552.00,4.00,0.00,0.00
192.168.20.20,18.200.177.60,18157224124,1007,18157224124.00,1007.00,0.00,0.00
192.168.20.20,8.8.8.8,115226,8,57613.00,4.00,22651.00,2.00
192.168.20.20,54.194.135.95,264548,11,264548.00,11.00,0.00,0.00
192.168.20.20,52.215.192.18,38632523985,2111,19316261992.50,1055.50,16824371838.50,915.50
192.168.20.20,224.0.0.251,1696148,48,848074.00,24.00,813860.00,22.00
18.155.126.209,192.168.20.43,1053,11,1053.00,11.00,0.00,0.00
18.155.126.209,192.168.20.48,20821,17,10410.50,8.50,899.50,2.50
3.18.23.108,192.168.20.48,103632,4,103632.00,4.00,0.00,0.00
15.184.245.166,192.168.20.48,49020,2,49020.00,2.00,0.00,0.00
54.75.207.158,192.168.20.43,216,2,216.00,2.00,0.00,0.00
199.232.58.248,192.168.20.42,320,6,320.00,6.00,0.00,0.00
35.164.36.47,192.168.20.48,598821,2,598821.00,2.00,0.00,0.00
35.178.87.88,192.168.20.48,152210,1,152210.00,1.00,0.00,0.00
15.161.86.203,192.168.20.48,2520,2,2520.00,2.00,0.00,0.00
52.202.2.34,192.168.20.48,4449676,61,2224838.00,30.50,246814.00,0.50
3.105.75.37,192.168.20.48,1898543,8,1898543.00,8.00,0.00,0.00
18.164.49.183,192.168.20.43,11906,10,11906.00,10.00,0.00,0.00
13.37.191.91,192.168.20.48,6020,3,3010.00,1.50,1040.00,0.50
13.50.30.171,192.168.20.48,427690,8,427690.00,8.00,0.00,0.00
3.140.228.75,192.168.20.48,800276,4,800276.00,4.00,0.00,0.00
176.32.101.122,192.168.20.43,1277,1,1277.00,1.00,0.00,0.00
50.17.237.83,192.168.20.48,1050,1,1050.00,1.00,0.00,0.00
52.46.149.63,192.168.20.43,14460,2,14460.00,2.00,0.00,0.00
8.6.0.1,8.0.6.4,83537744569,42409,41768872284.50,21204.50,38199052091.50,19460.50
52.79.118.208,192.168.20.48,1296651,9,648325.50,4.50,296048.50,2.50
108.136.92.85,192.168.20.48,751692,2,751692.00,2.00,0.00,0.00
54.159.111.180,192.168.20.43,83077,4,83077.00,4.00,0.00,0.00
216.58.215.48,192.168.20.42,4980,3,4980.00,3.00,0.00,0.00
52.222.193.55,192.168.20.43,5217593238,227,5217593238.00,227.00,0.00,0.00
52.222.193.55,192.168.20.48,63611,47,63611.00,47.00,0.00,0.00
44.199.138.71,192.168.20.48,1937804,30,1937804.00,30.00,0.00,0.00
52.46.141.254,192.168.20.43,1095,2,1095.00,2.00,0.00,0.00
52.46.145.14,192.168.20.43,5266,3,5266.00,3.00,0.00,0.00
52.119.198.106,192.168.20.48,268689,1,268689.00,1.00,0.00,0.00
52.46.129.152,192.168.20.43,144,2,144.00,2.00,0.00,0.00
142.250.179.99,192.168.20.42,2537,3,2537.00,3.00,0.00,0.00
54.239.19.122,192.168.20.48,1200,2,1200.00,2.00,0.00,0.00
35.171.216.243,192.168.20.48,17086,2,17086.00,2.00,0.00,0.00
34.228.101.107,192.168.20.48,61245,2,61245.00,2.00,0.00,0.00
52.95.127.117,192.168.20.43,2633,1,2633.00,1.00,0.00,0.00
52.46.136.110,192.168.20.43,1430,3,1430.00,3.00,0.00,0.00
216.58.214.78,192.168.20.42,8880,6,4440.00,3.00,3382.00,2.00
44.193.236.65,192.168.20.48,5646425,71,5646425.00,71.00,0.00,0.00
54.187.92.102,192.168.20.43,113,2,113.00,2.00,0.00,0.00
52.214.227.89,192.168.20.43,584940332,102,292470166.00,51.00,292468695.00,46.00
52.214.227.89,192.168.20.48,38677,25,38677.00,25.00,0.00,0.00
52.94.236.45,192.168.20.43,3513,6,3513.00,6.00,0.00,0.00
209.54.183.188,192.168.20.43,1364,1,1364.00,1.00,0.00,0.00
52.46.133.19,192.168.20.48,190545,1,190545.00,1.00,0.00,0.00
54.166.21.152,192.168.20.48,1634088,21,817044.00,10.50,768044.00,6.50
52.94.235.74,192.168.20.43,2859,1,2859.00,1.00,0.00,0.00
192.168.20.19,54.217.52.155,11955854886,3000,5977927443.00,1500.00,5511274384.00,1357.00
192.168.20.19,203.107.6.88,4163369,20,2081684.50,10.00,1873469.50,9.00
192.168.20.19,216.239.35.8,114892,20,57446.00,10.00,51785.00,9.00
192.168.20.19,54.74.123.186,260921965,717,130460982.50,358.50,109851576.50,303.50
192.168.20.19,63.32.248.122,2856394,350,1428197.00,175.00,1353842.00,165.00
192.168.20.19,8.8.4.4,3884784,821,1942392.00,410.50,1724418.00,356.50
192.168.20.19,54.171.25.87,376325636,1027,188162818.00,513.50,167483826.00,449.50
192.168.20.19,216.239.35.4,115413,20,57706.50,10.00,52067.50,9.00
192.168.20.19,173.194.76.206,64381565377,2933,32190782688.50,1466.50,29402140846.50,1340.50
192.168.20.19,216.239.35.12,248404,20,124202.00,10.00,111799.00,9.00
192.168.20.19,224.0.0.22,375544168,1414,187772084.00,707.00,172817501.00,649.00
192.168.20.19,216.239.35.0,116716,20,58358.00,10.00,52510.00,9.00
192.168.20.19,52.210.32.69,11307601414,2828,5653800707.00,1414.00,5269727206.00,1241.00
192.168.20.19,8.8.8.8,4377579,835,2188789.50,417.50,2067630.50,387.50
192.168.20.19,108.128.53.179,10866589311,2723,5433294655.50,1361.50,5046271729.50,1246.50
192.168.20.19,54.78.125.193,339933854,917,169966927.00,458.50,143026555.00,383.50
192.168.20.19,239.255.255.250,56906196336,10104,28453098168.00,5052.00,26021731570.00,4620.00
192.168.20.19,34.117.13.189,67742735544,3871,33871367772.00,1935.50,30910728147.00,1768.50
192.168.20.19,224.0.0.251,42912888358,1518,21456444179.00,759.00,19599072034.00,691.00
192.168.20.19,54.171.11.240,3063898,360,1531949.00,180.00,1333245.00,160.00
192.168.20.19,120.25.115.20,4950325,19,2475162.50,9.50,2218656.50,8.50
54.239.31.104,192.168.20.48,113638,3,113638.00,3.00,0.00,0.00
192.168.20.18,51.195.117.133,90611113,75,45305556.50,37.50,42133084.50,34.50
192.168.20.18,129.6.15.28,15254691,8,15254691.00,8.00,0.00,0.00
192.168.20.18,52.31.222.8,10379969,873,5189984.50,436.50,4745502.50,400.50
52.46.153.141,192.168.20.43,19530,3,19530.00,3.00,0.00,0.00
209.54.181.79,192.168.20.43,2007,3,2007.00,3.00,0.00,0.00
44.207.137.197,192.168.20.48,85409,3,85409.00,3.00,0.00,0.00
54.157.203.98,192.168.20.48,1222595,24,1222595.00,24.00,0.00,0.00
15.188.36.183,192.168.20.48,14301,6,14301.00,6.00,0.00,0.00
192.168.20.13,18.195.249.137,504203,30,504203.00,30.00,0.00,0.00
192.168.20.13,255.255.255.255,81695128898,17039,40847564449.00,8519.50,37342532013.00,7788.50
192.168.20.13,3.120.92.134,71820506976,3059,35910253488.00,1529.50,32430657807.00,1392.50
192.168.20.12,18.195.249.137,687893,40,687893.00,40.00,0.00,0.00
192.168.20.12,255.255.255.255,81709268609,17037,40854634304.50,8518.50,37349677150.50,7787.50
192.168.20.12,3.120.92.134,70626753538,3072,35313376769.00,1536.00,32492696705.00,1409.00
3.227.117.250,192.168.20.48,4807,2,4807.00,2.00,0.00,0.00
192.168.20.10,35.195.102.202,79445681588,11161,39722840794.00,5580.50,36358490098.00,5107.50
16.16.59.238,192.168.20.48,549961,8,549961.00,8.00,0.00,0.00
18.164.55.96,192.168.20.43,4967,1,4967.00,1.00,0.00,0.00
35.167.225.196,192.168.20.43,1592,1,1592.00,1.00,0.00,0.00
35.167.225.196,192.168.20.48,28011,3,28011.00,3.00,0.00,0.00
192.168.20.15,255.255.255.255,83087123647,28396,41543561823.50,14198.00,37976574336.50,12979.00
192.168.20.15,3.126.235.192,201516,17,201516.00,17.00,0.00,0.00
192.168.20.15,52.59.40.69,71332326897,3074,35666163448.50,1537.00,32606480360.50,1405.00
52.84.179.94,192.168.20.43,20158,5,20158.00,5.00,0.00,0.00
52.20.206.121,192.168.20.48,3165280,53,3165280.00,53.00,0.00,0.00
52.36.138.241,192.168.20.43,316,8,316.00,8.00,0.00,0.00
18.156.17.11,192.168.20.48,48637,2,48637.00,2.00,0.00,0.00
209.54.181.98,192.168.20.48,478274,2,478274.00,2.00,0.00,0.00
54.238.156.226,192.168.20.48,1786944,12,1786944.00,12.00,0.00,0.00
3.212.57.174,192.168.20.48,941,1,941.00,1.00,0.00,0.00
52.46.137.255,192.168.20.48,58598,4,58598.00,4.00,0.00,0.00
52.71.238.202,192.168.20.48,1025,1,1025.00,1.00,0.00,0.00
54.194.135.95,192.168.20.20,3383,2,3383.00,2.00,0.00,0.00
54.239.35.210,192.168.20.43,1039,1,1039.00,1.00,0.00,0.00
13.125.158.78,192.168.20.48,891004,9,891004.00,9.00,0.00,0.00
34.214.111.43,192.168.20.48,499987,4,249993.50,2.00,244460.50,0.00
157.241.5.46,192.168.20.48,9101,4,9101.00,4.00,0.00,0.00
52.72.244.88,192.168.20.48,377786,5,377786.00,5.00,0.00,0.00
209.54.178.164,192.168.20.48,39918,1,39918.00,1.00,0.00,0.00
216.58.204.110,192.168.20.42,45054359,3,45054359.00,3.00,0.00,0.00
173.194.76.206,192.168.20.19,623,2,623.00,2.00,0.00,0.00
54.225.152.58,192.168.20.48,397142,2,397142.00,2.00,0.00,0.00
3.227.83.236,192.168.20.48,4898922,74,4898922.00,74.00,0.00,0.00
52.78.15.113,192.168.20.48,450100,1,450100.00,1.00,0.00,0.00
52.84.174.66,192.168.20.43,1224,1,1224.00,1.00,0.00,0.00
52.44.87.149,192.168.20.48,356430,5,356430.00,5.00,0.00,0.00
52.84.174.68,192.168.20.43,1092,1,1092.00,1.00,0.00,0.00
216.58.213.70,192.168.20.42,1064,1,1064.00,1.00,0.00,0.00
3.76.1.196,192.168.20.48,7019,5,7019.00,5.00,0.00,0.00
216.58.213.78,192.168.20.42,1343,1,1343.00,1.00,0.00,0.00
54.162.217.75,192.168.20.48,1119,1,1119.00,1.00,0.00,0.00
52.46.131.168,192.168.20.48,14293,3,14293.00,3.00,0.00,0.00
54.68.250.149,192.168.20.48,371471,4,371471.00,4.00,0.00,0.00
52.222.145.55,192.168.20.43,179896807,6,179896807.00,6.00,0.00,0.00
52.222.145.55,192.168.20.48,143,2,143.00,2.00,0.00,0.00
54.193.16.2,192.168.20.48,792450,5,792450.00,5.00,0.00,0.00
13.32.145.118,192.168.20.48,93511,1,93511.00,1.00,0.00,0.00
151.101.1.16,192.168.20.43,1038,8,1038.00,8.00,0.00,0.00
0.0.0.0,255.255.255.255,1056138,8,1056138.00,8.00,0.00,0.00
52.46.137.106,192.168.20.43,1194,2,1194.00,2.00,0.00,0.00
54.207.10.176,192.168.20.48,779331,4,779331.00,4.00,0.00,0.00
54.92.128.108,192.168.20.48,519203,2,519203.00,2.00,0.00,0.00
54.161.26.204,192.168.20.48,332591,3,332591.00,3.00,0.00,0.00
52.46.136.68,192.168.20.43,3505,5,3505.00,5.00,0.00,0.00
52.222.174.52,192.168.20.48,163,2,163.00,2.00,0.00,0.00
216.58.213.67,192.168.20.42,1178,1,1178.00,1.00,0.00,0.00
34.195.175.66,192.168.20.48,566858,6,566858.00,6.00,0.00,0.00
34.231.63.97,192.168.20.48,2217,2,2217.00,2.00,0.00,0.00
15.236.150.135,192.168.20.48,145058,8,145058.00,8.00,0.00,0.00
52.46.144.253,192.168.20.43,3010,3,3010.00,3.00,0.00,0.00
34.250.50.152,192.168.20.48,6712,5,6712.00,5.00,0.00,0.00
108.137.181.26,192.168.20.48,245253,5,245253.00,5.00,0.00,0.00
13.246.174.39,192.168.20.48,833409,5,833409.00,5.00,0.00,0.00
13.245.125.189,192.168.20.48,6574,5,6574.00,5.00,0.00,0.00
18.102.55.180,192.168.20.48,3317,2,3317.00,2.00,0.00,0.00
3.112.156.31,192.168.20.48,1342431,5,1342431.00,5.00,0.00,0.00
3.226.196.104,192.168.20.43,79953,2,79953.00,2.00,0.00,0.00
52.94.232.195,192.168.20.43,12555,3,12555.00,3.00,0.00,0.00
54.161.84.13,192.168.20.43,1161,2,1161.00,2.00,0.00,0.00
54.167.53.194,192.168.20.48,4666,2,4666.00,2.00,0.00,0.00
54.239.26.255,192.168.20.43,1793,3,1793.00,3.00,0.00,0.00
52.119.198.2,192.168.20.48,177215,3,177215.00,3.00,0.00,0.00
63.32.248.122,192.168.20.19,32305,70,16152.50,35.00,15234.50,33.00
157.175.241.61,192.168.20.48,500357,3,500357.00,3.00,0.00,0.00
